Th1;Th2;CN;Nodes;Edges;A;B;C;D;E;Metric
0.014;0.013;15;38;134;0.7213354;0.8318714;0.8553373;0.7829989;0.2964182;69.759224
0.015;0.013;15;39;133;0.7505007;0.84268886;0.8413628;0.7935232;0.31217054;70.80492
0.016;0.013;15;39;133;0.7515943;0.84268886;0.84170336;0.79369414;0.3121273;70.83616
0.017;0.013;15;38;127;0.7507012;0.84210527;0.83778673;0.7848962;0.31318402;70.57347
0.018;0.013;15;38;127;0.7500863;0.84210527;0.83769655;0.7851654;0.31322175;70.565506
0.019;0.013;15;38;128;0.75507545;0.8406433;0.83778906;0.7869788;0.31320393;70.673805
0.02;0.013;15;39;129;0.77976835;0.84823287;0.8429363;0.8033018;0.31752867;71.83536
0.021;0.013;15;39;129;0.77976835;0.84823287;0.8429363;0.8033018;0.31752867;71.83536
0.022;0.013;15;39;129;0.77976835;0.84823287;0.8429363;0.8033018;0.31752867;71.83536
0.023;0.013;15;39;129;0.77976835;0.84823287;0.8429363;0.8033018;0.31752867;71.83536
0.024;0.013;15;39;129;0.77971745;0.84823287;0.8429362;0.80333817;0.31752867;71.83507
0.025;0.013;15;39;129;0.77971745;0.84823287;0.8429362;0.80333817;0.31752867;71.83507
0.026;0.013;15;39;129;0.77971745;0.84823287;0.8429362;0.80333817;0.31752867;71.83507
0.027;0.013;15;39;129;0.77971745;0.84823287;0.8429362;0.80333817;0.31752867;71.83507
0.028;0.013;15;39;129;0.77971745;0.84823287;0.8429362;0.80333817;0.31752867;71.83507
0.029;0.013;15;39;129;0.77971745;0.84823287;0.8429362;0.80333817;0.31752867;71.83507
0.03;0.013;15;39;129;0.77971745;0.84823287;0.8429362;0.80333817;0.31752867;71.83507
0.031;0.013;15;39;129;0.77971745;0.84823287;0.8429362;0.80333817;0.31752867;71.83507
0.006;0.014;15;76;137;0.8229127;0.96479374;0.86439687;0.8651401;0.37094253;77.76372
0.007;0.014;15;65;126;0.8105375;0.9543345;0.84920585;0.872711;0.3583224;76.90223
0.008;0.014;15;59;122;0.8259399;0.94498956;0.85276103;0.8526371;0.36319193;76.79039
0.009;0.014;15;54;116;0.8278971;0.9366097;0.8530331;0.8234311;0.37119243;76.24327
0.01;0.014;15;50;120;0.81359005;0.92083335;0.84631944;0.78727716;0.3690664;74.74172
0.011;0.014;15;48;120;0.79178643;0.9130435;0.8285707;0.80504316;0.35386524;73.846176
0.012;0.014;15;46;115;0.7921772;0.9090908;0.83802974;0.8208633;0.35339257;74.27107
0.013;0.014;15;37;109;0.7724472;0.86023164;0.8509276;0.8123766;0.33988768;72.717415
0.014;0.014;15;37;107;0.77289224;0.8633204;0.85153544;0.8000658;0.3306842;72.369965
0.015;0.014;15;35;108;0.790204;0.84329003;0.84693706;0.80508494;0.30920753;71.89447
0.016;0.014;15;34;104;0.79056835;0.84007347;0.85120136;0.80967265;0.31505367;72.131386
0.017;0.014;15;32;103;0.7809149;0.81875;0.8561463;0.7911222;0.30692905;71.07725
0.018;0.014;15;31;101;0.7697297;0.80978864;0.880171;0.7841852;0.29841053;70.845695
0.019;0.014;15;31;98;0.7962508;0.8164628;0.8603014;0.7738037;0.30636218;71.063614
